Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,30441.353516,31256.863281,29600.275391,30620.769531,30620.769531,46007330972
2023-07-03,30624.515625,31460.052734,29777.285156,30171.234375,30171.234375,90491031635
2023-07-10,30172.423828,31814.515625,29966.386719,30249.132813,30249.132813,102917922458
2023-07-17,30249.626953,30336.400391,29556.427734,30084.539063,30084.539063,81229098742
2023-07-24,30081.662109,30093.394531,28934.294922,29275.308594,29275.308594,76309629498
2023-07-31,29278.314453,29987.998047,28657.023438,29041.855469,29041.855469,87827001052
2023-08-07,29038.513672,30176.796875,28724.140625,29282.914063,29282.914063,85153014454
2023-08-14,29283.263672,29660.253906,25409.111328,26189.583984,26189.583984,116418274959
2023-08-21,26188.691406,26786.898438,25520.728516,26089.693359,26089.693359,83086807452
2023-08-28,26089.615234,28089.337891,25362.609375,25969.566406,25969.566406,113161627781
2023-09-04,25968.169922,26414.005859,25404.359375,25832.226563,25832.226563,69814611152
2023-09-11,25831.714844,26840.498047,24930.296875,26534.187500,26534.187500,85796699860
2023-09-18,26532.994141,27488.763672,26221.050781,26256.826172,26256.826172,82251905213
2023-09-25,26253.775391,28047.238281,26011.468750,27983.750000,27983.750000,73012240734
2023-10-02,27976.798828,28494.458984,27215.552734,27935.089844,27935.089844,82183775698
2023-10-09,27934.472656,27989.470703,26558.320313,27159.652344,27159.652344,72673654487
2023-10-16,27162.628906,30287.482422,27130.472656,29993.896484,29993.896484,113402383094
2023-10-23,30140.685547,35150.433594,30097.828125,34538.480469,34538.480469,165718773022
2023-10-30,34531.742188,35919.843750,34083.308594,35049.355469,35049.355469,115520056635
2023-11-06,35044.789063,37926.257813,34545.816406,37054.519531,37054.519531,134767494805
2023-11-13,37070.304688,37964.894531,34948.500000,37386.546875,37386.546875,143535361089
2023-11-20,37374.074219,38415.339844,35670.972656,37479.121094,37479.121094,130439893957
2023-11-27,37454.191406,40135.605469,36750.128906,39978.390625,39978.390625,134360107955
2023-12-04,39978.628906,44705.515625,39978.628906,43779.699219,43779.699219,188503614895
2023-12-11,43792.019531,43808.375000,40234.578125,41364.664063,41364.664063,168493481950
2023-12-18,41348.203125,44367.957031,40530.257813,43016.117188,43016.117188,152084171491
2023-12-25,43010.574219,43804.781250,41424.062500,42265.187500,42265.187500,157807126208
2024-01-01,42280.234375,45899.707031,40813.535156,43943.097656,43943.097656,202311773985
2024-01-08,43948.707031,48969.371094,41724.613281,41796.269531,41796.269531,259971819745
2024-01-15,41715.066406,43566.273438,40297.457031,41545.785156,41545.785156,139135824835
2024-01-22,41553.652344,42797.175781,38521.894531,42035.593750,42035.593750,155314602893
2024-01-29,42030.914063,43838.945313,41818.332031,42583.582031,42583.582031,135184187433
2024-02-05,42577.621094,48535.937500,42264.816406,48293.917969,48293.917969,157826395448
2024-02-12,48296.386719,52820.066406,47745.761719,52122.546875,52122.546875,213560041471
2024-02-19,52134.812500,52945.050781,50561.777344,51733.238281,51733.238281,160769145627
2024-02-26,51730.539063,63913.132813,50931.031250,63167.371094,63167.371094,322895666089
2024-03-04,63137.003906,70083.054688,59323.910156,69019.789063,69019.789063,405709693297
2024-03-11,69020.546875,73750.070313,64545.316406,68390.625000,68390.625000,405957750577
2024-03-18,68371.304688,68897.132813,60807.785156,67234.171875,67234.171875,328097121682
2024-03-25,67234.093750,71727.687500,66414.835938,71333.648438,71333.648438,216324625836
2024-04-01,71333.484375,71342.093750,64559.898438,69362.554688,69362.554688,229427260104
2024-04-08,69362.554688,72715.359375,60919.105469,65738.726563,65738.726563,288243675431
2024-04-15,65739.648438,66878.648438,59651.390625,64926.644531,64926.644531,257889555865
2024-04-22,64935.632813,67233.960938,62424.718750,63113.230469,63113.230469,176031088174
2024-04-29,63106.363281,64703.332031,56555.292969,64031.132813,64031.132813,217717011805
2024-05-06,64038.312500,65494.902344,60208.781250,61448.394531,61448.394531,161617857129
2024-05-13,61451.218750,67694.296875,60769.839844,66278.367188,66278.367188,191456349028
2024-05-20,66278.742188,71946.460938,66086.171875,68518.093750,68518.093750,225779718034
2024-05-27,68512.179688,70597.882813,66633.421875,67751.601563,67751.601563,170949409910
2024-06-03,67753.898438,71907.851563,67589.835938,69647.992188,69647.992188,187569500742
2024-06-10,69644.312500,70146.070313,65056.894531,66639.046875,66639.046875,175973271622
2024-06-17,66636.515625,67188.320313,63180.796875,63180.796875,63180.796875,163449015388
2024-06-24,63173.351563,63292.527344,58601.699219,60887.378906,60887.378906,153696867464
2024-06-30,60888.445313,61624.296875,60646.214844,61457.410156,61457.410156,13522332672
